department,full_name,company_name,email,phone_number,number_of_apartements,number_of_floors,number_of_basements,number_of_parking,number_of_stores,max_occupancy_per_floor,hours_of_activity ,service_level,number_of_elevators,installation_cost,total_cost
Residential,Valeria Graith,Brightdog,vgraith0@ed.gov,941-341-8943,32,79,10,,,,,Premium,29,$10013.60,$1859377.51
Residential,Cordell Knowles,Livepath,cknowles5@reverbnation.com,713-151-9640,376,39,2,,,,,Excelium,30,$13463.34,$1838499.66
Residential,Nichols D'Orsay,Flashset,ndorsayc@xrea.com,664-883-7542,339,48,5,,,,,Premium,19,$10055.89,$1784354.09
Residential,Dalenna Kingdon,Voomm,dkingdond@netlog.com,384-128-2063,138,90,10,,,,,Premium,18,$15977.09,$580912.33
Residential,Nobie Lefeuvre,Chatterbridge,nlefeuvrej@cocolog-nifty.com,130-855-4612,135,57,2,,,,,Excelium,20,$17702.68,$481030.34
Residential,Nikolia Berwick,Yakidoo,nberwickl@dion.ne.jp,803-349-6235,264,49,4,,,,,Excelium,22,$10520.01,$529439.05
Residential,Garret Opfer,Thoughtmix,gopfern@qq.com,770-816-3883,252,47,1,,,,,Premium,1,$16594.55,$1832574.18
Residential,Leupold McIlraith,Demivee,lmcilraitho@facebook.com,373-802-8304,315,95,4,,,,,Premium,20,$17053.02,$387133.82
Residential,Amara Booley,Leenti,abooleyq@oakley.com,770-739-9087,345,93,4,,,,,Premium,18,$10557.00,$1522483.47
Residential,Bren Tripet,Tagopia,btripett@un.org,555-466-1000,160,96,3,,,,,Standard,25,$9880.88,$1125514.97
Residential,Dale Shirland,Oodoo,dshirlandu@ebay.com,213-860-8946,70,28,8,,,,,Excelium,3,$17419.53,$1959143.39
Residential,Lillian Folger,Izio,lfolgerv@hubpages.com,691-721-2204,379,25,5,,,,,Premium,21,$17704.79,$407873.86
Residential,Wynne Barosch,Trunyx,wbaroschy@1688.com,344-496-2617,133,61,4,,,,,Excelium,22,$14354.61,$984624.94
Residential,Georg Kenan,Skinder,gkenanz@vinaora.com,897-244-0321,375,78,10,,,,,Standard,25,$9178.73,$2083416.29
Residential,Marlee Duncanson,Thoughtstorm,mduncanson1e@nhs.uk,917-413-7120,186,31,10,,,,,Premium,1,$16272.10,$462181.05
Residential,Terrye Menico,LiveZ,tmenico1n@ifeng.com,774-619-5608,396,21,3,,,,,Standard,23,$16693.84,$706346.75
Residential,Lucio Tunbridge,Zooxo,ltunbridge1p@moonfruit.com,599-974-7011,133,9,9,,,,,Premium,28,$11547.28,$777773.88
Residential,Gusti Harcase,Jaxbean,gharcase1r@mysql.com,626-765-3804,43,77,4,,,,,Standard,9,$13307.46,$1934880.86
Residential,Carolan Gertz,Browseblab,cgertz24@psu.edu,755-559-8088,151,53,7,,,,,Premium,24,$8885.57,$624551.82
Residential,Lea Aymerich,Skyvu,laymerich2h@booking.com,446-141-2944,270,97,1,,,,,Premium,6,$7000.01,$1512066.17
Residential,Abbie Newlands,Tanoodle,anewlands2i@wp.com,338-522-7535,196,83,5,,,,,Premium,24,$13966.45,$925738.85
Residential,Quinta Landells,Twimbo,qlandells2n@house.gov,228-914-6790,46,91,3,,,,,Standard,28,$7334.10,$870211.30
Residential,Mahala Plume,Skajo,mplume2o@live.com,612-918-1039,386,29,10,,,,,Standard,16,$15906.43,$301745.03
Residential,Chelsy Acom,Zoonder,cacom2t@mit.edu,666-168-2420,196,80,3,,,,,Standard,22,$14463.06,$2080222.07
Residential,Andie MacCole,Nlounge,amaccole2v@wikispaces.com,907-764-5516,359,99,3,,,,,Standard,30,$15312.30,$1428548.44
Residential,Carlye Elleton,Jamia,celleton2x@flavors.me,250-314-2509,223,33,9,,,,,Premium,27,$14083.73,$2044597.67
Residential,Prudy Pomery,Dazzlesphere,ppomery2y@answers.com,542-908-7059,238,37,7,,,,,Standard,29,$12245.64,$2332419.10
Residential,Ethyl Blumer,Yabox,eblumer33@imdb.com,303-287-8184,354,45,9,,,,,Standard,26,$17086.66,$2036262.66
Residential,Kenton Stollhofer,Skajo,kstollhofer3a@time.com,436-732-9266,259,82,9,,,,,Excelium,22,$14013.17,$1085876.10
Residential,Danyette Phillipps,Meeveo,dphillipps3e@wikipedia.org,884-112-0195,262,17,8,,,,,Standard,26,$17150.43,$1468953.11
Residential,Newton Hoble,Voonder,nhoble3o@phoca.cz,803-528-1280,294,29,1,,,,,Premium,5,$14240.23,$895515.16
Residential,Shae Wheal,Browsezoom,swheal3t@ox.ac.uk,830-914-5882,32,21,5,,,,,Standard,8,$16451.31,$2317325.10
Residential,Philippe Dowley,Vinder,pdowley3v@smugmug.com,715-962-3210,323,82,5,,,,,Premium,25,$12860.13,$934795.99
Residential,Aubrette Crenage,Yotz,acrenage3z@walmart.com,191-710-3267,166,44,7,,,,,Standard,28,$12570.67,$2126754.33
Residential,Jeffrey Neem,Babbleblab,jneem44@sohu.com,795-249-3771,49,37,7,,,,,Excelium,28,$15534.38,$680944.48
Residential,Leigh Lumb,Divape,llumb45@yolasite.com,456-869-7588,172,3,10,,,,,Standard,25,$17106.34,$1914306.37
Residential,Edin Sotworth,Youfeed,esotworth49@1und1.de,651-766-7708,317,71,2,,,,,Premium,17,$7361.16,$932758.56
Residential,Shae Trippack,Tagtune,strippack4k@tmall.com,153-879-3607,168,82,7,,,,,Standard,13,$7551.83,$511917.20
Residential,Linnell McTrustram,Avamm,lmctrustram4s@narod.ru,985-798-3858,390,91,4,,,,,Premium,21,$9179.23,$461533.67
Residential,Eustacia Hurdidge,Divanoodle,ehurdidge4t@vkontakte.ru,143-961-1955,81,77,10,,,,,Premium,11,$15031.58,$1873798.80
Residential,Judith Asals,Skiptube,jasals4z@weibo.com,961-233-9135,20,80,6,,,,,Standard,4,$17557.02,$671031.42
Residential,Frederico Drake,Feedmix,fdrake52@mit.edu,956-363-5180,209,7,2,,,,,Premium,17,$7086.08,$2205701.82
Residential,Hollyanne Stubbeley,Feedspan,hstubbeley5n@sohu.com,535-543-2646,105,48,9,,,,,Standard,20,$10875.01,$1597428.04
Residential,Ertha Crampsey,Tagcat,ecrampsey5o@gravatar.com,570-303-5350,311,79,10,,,,,Premium,30,$8727.86,$1158174.53
Residential,Earvin Chalder,Jetwire,echalder5p@yelp.com,612-853-2174,249,82,2,,,,,Excelium,17,$14416.12,$910001.79
Residential,Martyn Izhak,Wordware,mizhak60@cisco.com,841-959-9877,63,56,10,,,,,Premium,26,$17666.81,$814081.39
Residential,Maure Steers,Cogidoo,msteers65@cpanel.net,836-210-7230,204,62,3,,,,,Standard,5,$11446.00,$572576.69
Residential,Justina Barthelet,Skajo,jbarthelet6d@devhub.com,155-811-7996,24,78,1,,,,,Premium,16,$17364.22,$1572813.66
Residential,Lucine Binning,Plambee,lbinning6j@dmoz.org,469-464-6160,282,34,5,,,,,Premium,23,$12934.68,$2057947.86
Residential,Tabb Barkas,Meevee,tbarkas6k@unicef.org,796-833-2199,298,95,8,,,,,Premium,28,$8302.87,$1782177.79
Residential,Dael Everwin,Ainyx,deverwin6m@myspace.com,414-257-8272,347,23,10,,,,,Excelium,15,$13023.40,$602376.51
Residential,Nickey Clothier,Browsedrive,nclothier6s@miitbeian.gov.cn,440-467-0055,103,51,3,,,,,Excelium,27,$14223.73,$289392.01
Residential,Kaiser Champley,Tagcat,kchampley6y@illinois.edu,228-901-4478,205,16,8,,,,,Excelium,10,$9997.72,$514230.85
Residential,Henderson Kohrding,Skipstorm,hkohrding70@independent.co.uk,805-622-5726,245,94,6,,,,,Excelium,24,$7697.92,$1127951.05
Residential,Clemens Garnsworthy,Skyble,cgarnsworthy74@sciencedirect.com,812-488-3477,88,54,2,,,,,Standard,25,$12037.27,$1636321.15
Residential,Erminia Treffrey,Zava,etreffrey75@abc.net.au,414-563-3990,102,72,4,,,,,Excelium,17,$7953.98,$1742291.61
Residential,Erina Millom,Edgetag,emillom76@java.com,709-460-5419,156,76,9,,,,,Excelium,4,$17768.39,$2221989.80
Residential,Kendra Brannan,Tagcat,kbrannan7e@hostgator.com,268-230-7312,80,92,6,,,,,Standard,1,$14953.97,$1490807.63
Residential,Marlena Ferrillo,Brainlounge,mferrillo7g@geocities.com,967-717-5111,301,54,10,,,,,Standard,22,$12515.69,$1994697.80
Residential,Lizabeth Gosart,Trudeo,lgosart7h@si.edu,109-359-4109,283,61,7,,,,,Standard,17,$9715.28,$845952.50
Residential,Reinald Bolzmann,Vipe,rbolzmann7i@elegantthemes.com,991-817-5067,201,3,1,,,,,Excelium,7,$11744.69,$1804693.40
Residential,Casi Illingworth,Photolist,cillingworth7v@goo.gl,656-330-0286,175,70,10,,,,,Premium,7,$14960.55,$1565375.27
Residential,Jonas Duffield,Zoombeat,jduffield7w@geocities.com,512-433-7435,203,8,10,,,,,Standard,9,$13283.14,$1053754.84
Residential,Cordy Parramore,Thoughtstorm,cparramore7y@alexa.com,159-867-3522,159,93,3,,,,,Excelium,22,$9214.98,$2300663.29
Residential,Evonne Hendrich,Chatterbridge,ehendrich83@reuters.com,632-793-6780,162,7,1,,,,,Premium,27,$15811.93,$431639.32
Residential,Meredith Linton,Bubbletube,mlinton89@live.com,616-380-3056,120,82,3,,,,,Premium,5,$13283.50,$460908.55
Residential,Corenda Halley,Gabtune,challey8n@lulu.com,167-438-9840,68,27,1,,,,,Excelium,14,$10282.48,$49083.09
Residential,Tyne Freeborne,Zoomcast,tfreeborne8r@go.com,924-612-0641,163,73,9,,,,,Excelium,26,$14852.80,$968617.92
Residential,Flss Smalman,Omba,fsmalman8t@free.fr,961-661-6997,186,46,6,,,,,Premium,9,$15607.58,$2141238.25
Residential,Maximo Osbaldeston,Midel,mosbaldeston8v@bloglovin.com,211-177-9263,78,63,10,,,,,Premium,21,$17856.07,$1415165.69
Residential,Cristian Verbrugghen,Skipfire,cverbrugghen8w@census.gov,572-248-8307,375,66,1,,,,,Premium,14,$7158.50,$112921.95
Residential,Jareb Gerrett,Shufflebeat,jgerrett8y@craigslist.org,905-394-8296,210,31,9,,,,,Excelium,29,$16899.91,$1480061.58
Residential,Wilma Moynihan,Yodoo,wmoynihan9d@godaddy.com,855-950-0414,26,64,4,,,,,Standard,28,$14560.97,$2309614.49
Residential,Vance Brecknock,Wordpedia,vbrecknock9n@mozilla.org,689-927-5844,269,72,10,,,,,Standard,15,$9133.33,$1085546.38
Residential,Ellswerth Caslane,Linkbridge,ecaslane9y@fema.gov,908-435-3797,276,84,5,,,,,Premium,4,$12961.27,$132433.48
Residential,Maris Casellas,Trudeo,mcasellasa0@google.it,958-310-4012,314,76,3,,,,,Excelium,4,$10291.24,$1493539.96
Residential,Wenda Braunfeld,Katz,wbraunfelda9@ycombinator.com,542-320-9902,128,73,7,,,,,Standard,5,$17438.70,$1619497.25
Residential,Fan Kenworthy,Jaxspan,fkenworthyah@umn.edu,227-631-4144,312,92,9,,,,,Standard,13,$9339.20,$612024.70
Residential,Nancey Spellacy,Flipbug,nspellacyan@smh.com.au,944-361-8545,322,69,7,,,,,Premium,4,$17146.18,$1948855.49
Residential,Paige Ruberry,Skipfire,pruberryaq@ox.ac.uk,187-502-7191,136,6,7,,,,,Standard,21,$16630.56,$1070395.47
Residential,Talyah Cawsy,Meemm,tcawsyb0@independent.co.uk,198-199-2208,206,22,3,,,,,Premium,16,$8360.28,$1038767.40
Residential,Darn Appleyard,Jabbersphere,dappleyardb2@studiopress.com,578-757-7456,387,19,8,,,,,Standard,19,$13126.62,$2197132.35
Residential,Maurene Gammade,Zoonoodle,mgammadeb4@issuu.com,188-382-6599,230,57,1,,,,,Excelium,20,$7051.77,$492722.94
Residential,Willis Woollin,Agivu,wwoollinbb@opensource.org,405-510-0192,107,45,10,,,,,Premium,8,$17461.95,$1577705.38
Residential,Boyd Eliesco,Vimbo,beliescobq@wunderground.com,262-553-4325,63,47,9,,,,,Excelium,21,$16983.82,$2316253.28
Residential,Pollyanna Sichardt,Skyble,psichardtbr@posterous.com,557-898-0541,90,17,8,,,,,Excelium,11,$12340.67,$666175.63
Residential,Lyssa Sallinger,Vinder,lsallingerbx@edublogs.org,870-828-1813,184,78,1,,,,,Standard,11,$8686.24,$1251502.04
Residential,Fionna Garvin,Riffwire,fgarvinc0@apple.com,327-850-6863,267,29,5,,,,,Standard,12,$10774.41,$2143529.71
Residential,Norton Feldbrin,Twimm,nfeldbrinc1@google.com.au,477-300-2383,104,17,3,,,,,Excelium,6,$7806.24,$1350438.52
Residential,Niel Panniers,Zoombeat,npanniersc6@goo.ne.jp,445-882-4024,316,75,7,,,,,Premium,7,$14120.73,$74108.82
Residential,Clary Dalglish,JumpXS,cdalglishc7@wsj.com,769-640-7927,113,23,6,,,,,Standard,18,$13134.39,$1073261.17
Residential,Sarena Camier,Oyonder,scamiercb@purevolume.com,936-993-4782,217,76,1,,,,,Standard,17,$7021.31,$983039.43
Residential,Carr Dionisii,Topicware,cdionisiicf@bluehost.com,118-879-8466,360,31,5,,,,,Excelium,19,$12199.53,$1217491.41
Residential,Tyrus Duny,Skynoodle,tdunyci@ovh.net,634-327-2855,97,34,6,,,,,Premium,2,$12803.26,$484979.10
Residential,Law Alleburton,Camido,lalleburtoncn@whitehouse.gov,288-314-2727,106,71,8,,,,,Standard,2,$12556.93,$984034.24
Residential,Lizzy Turbern,Avaveo,lturberncq@psu.edu,550-638-1517,39,56,4,,,,,Excelium,18,$8409.34,$1260635.31
Residential,Dedra Escoffier,Yoveo,descoffierd3@pcworld.com,928-582-8121,271,62,3,,,,,Premium,5,$7992.49,$519666.10
Residential,Ella Gapper,Gigaclub,egapperd5@goodreads.com,448-668-6884,388,59,9,,,,,Premium,20,$15058.63,$1343768.80
Residential,Raddie Braundt,Kwideo,rbraundtd9@cpanel.net,775-734-1196,171,96,6,,,,,Excelium,6,$8531.81,$1382886.34
Residential,Gran Emblem,Twinte,gemblemda@elpais.com,360-816-9169,338,4,10,,,,,Standard,7,$14835.11,$131346.65
Residential,Joyce Faveryear,Trunyx,jfaveryeardc@1688.com,986-958-1386,66,15,3,,,,,Standard,22,$16402.81,$801511.21
Residential,Trude Gircke,Rhybox,tgirckedk@geocities.com,195-678-0468,301,83,8,,,,,Excelium,2,$15416.44,$1198478.04
Residential,Cyndia Husset,Fiveclub,chussetdn@bandcamp.com,955-224-2680,189,65,10,,,,,Premium,25,$7346.21,$752154.97
Residential,Jewel Iremonger,Youopia,jiremongerdo@google.com.br,657-305-8543,318,27,3,,,,,Standard,18,$16900.92,$1463819.25
Residential,Niles Cunnah,Livetube,ncunnahdx@myspace.com,291-877-8749,373,21,1,,,,,Premium,29,$14621.50,$453579.19
Residential,Kaiser Tutt,Skiba,ktutte0@alibaba.com,503-820-3177,391,80,1,,,,,Standard,9,$14306.82,$1963901.25
Residential,Rochell Luney,Jabbersphere,rluneye1@creativecommons.org,924-651-3587,223,40,5,,,,,Excelium,26,$14916.85,$482387.36
Residential,Veronique Musla,Yodoo,vmuslae3@last.fm,383-243-0234,326,61,8,,,,,Standard,21,$9983.42,$1042900.67
Residential,Felisha Golling,Zoonoodle,fgollinge4@webnode.com,774-797-2871,327,40,8,,,,,Excelium,14,$13321.31,$662149.05
Residential,Terrell Hechlin,Topicshots,thechline6@tmall.com,456-560-7994,233,62,1,,,,,Premium,2,$11377.16,$1027714.42
Residential,Rik Cuchey,Skyndu,rcucheye8@yellowbook.com,405-992-1613,25,8,5,,,,,Standard,2,$10106.76,$474996.97
Residential,Giuditta Dongate,Wikibox,gdongateef@va.gov,150-591-3893,210,56,6,,,,,Standard,8,$11279.60,$372342.96
Residential,Boonie Woolston,Kazio,bwoolstonei@apache.org,743-685-9622,210,38,8,,,,,Premium,11,$12687.75,$1537884.44
Residential,Mirella Hanselmann,Browsebug,mhanselmannek@theguardian.com,705-503-7958,372,83,6,,,,,Standard,19,$14431.74,$572548.61
Residential,Blanche MacKeig,Innojam,bmackeigel@yahoo.com,948-410-8997,327,97,9,,,,,Premium,20,$10249.80,$1243626.40
Residential,Man Denzey,Yodoo,mdenzeyeu@cloudflare.com,327-422-2238,227,6,5,,,,,Standard,8,$11628.02,$794727.61
Residential,Clementine Kerfut,Pixoboo,ckerfutex@netscape.com,980-249-4274,395,41,5,,,,,Premium,17,$12315.94,$676682.86
Residential,Winifred McLevie,Latz,wmclevieey@cyberchimps.com,515-709-0143,334,34,3,,,,,Standard,3,$16898.25,$1128263.16
Residential,Fancie Domenc,Demivee,fdomencez@live.com,661-589-8630,123,41,3,,,,,Excelium,14,$17973.53,$948293.50
Residential,Tomasine Yakobovicz,Feedfish,tyakoboviczf0@over-blog.com,157-918-1703,133,94,6,,,,,Excelium,15,$17980.93,$1852742.72
Residential,D'arcy Zupa,Feednation,dzupaf2@photobucket.com,405-368-4690,318,35,1,,,,,Excelium,19,$15894.51,$219162.56
Residential,Karna Kinvig,Kwinu,kkinvigf3@nih.gov,957-544-8128,238,55,4,,,,,Standard,8,$7250.21,$1176260.13
Residential,Beverlie Nucci,Jayo,bnuccif5@networkadvertising.org,558-933-0158,36,58,10,,,,,Standard,7,$10235.13,$1883034.10
Residential,Lorette McKinney,Oyope,lmckinneyf8@hibu.com,843-331-5101,181,99,1,,,,,Premium,8,$15176.33,$1838544.71
Residential,Boone Ransbury,Dabvine,bransburyfg@rakuten.co.jp,970-354-4768,205,95,10,,,,,Excelium,26,$14196.45,$45984.77
Residential,Marianne Zapata,Flipstorm,mzapatafh@princeton.edu,827-394-6105,135,21,7,,,,,Excelium,3,$14108.11,$156608.62
Residential,Andre Ciccottini,Flipopia,aciccottinifi@bbb.org,205-373-9535,382,40,9,,,,,Excelium,9,$12395.11,$1260386.02
Residential,Theo Finey,Dabvine,tfineyfj@toplist.cz,209-542-5066,88,49,1,,,,,Excelium,21,$7418.44,$1481568.78
Residential,Misha Tamblingson,Meejo,mtamblingsonfp@wsj.com,288-581-0780,228,55,10,,,,,Premium,6,$8151.73,$296658.16
Residential,Melba Onraet,Feednation,monraetfq@people.com.cn,440-591-3660,343,63,5,,,,,Excelium,9,$10283.74,$1259357.84
Residential,Cherish Sneezum,Shufflester,csneezumft@columbia.edu,658-223-8693,233,31,5,,,,,Standard,5,$14672.53,$2041854.32
Residential,Micaela Lettuce,Skipfire,mlettucefu@jigsy.com,133-181-9234,79,36,3,,,,,Premium,11,$7001.42,$1580132.41
Residential,Erena Durber,Brightdog,edurberfv@hao123.com,384-892-1278,108,91,1,,,,,Excelium,6,$10506.70,$1125871.91
Residential,Vilhelmina Moyes,Photospace,vmoyesfz@woothemes.com,895-857-6218,369,98,5,,,,,Standard,8,$15252.09,$395945.70
Residential,Emmalee McGee,Jaxnation,emcgeeg8@globo.com,469-468-0705,371,61,2,,,,,Premium,3,$15378.98,$191996.23
Residential,Ly Arne,Feedspan,larnegd@ebay.com,767-625-3015,265,54,9,,,,,Premium,30,$8665.11,$2015276.82
Residential,Carlyn Brailsford,Fanoodle,cbrailsfordgs@rambler.ru,728-941-9919,68,47,4,,,,,Excelium,5,$13125.84,$2206953.55
Residential,Cyrillus Wagg,Npath,cwagggx@uiuc.edu,614-522-1912,292,95,9,,,,,Excelium,14,$15103.32,$1493281.57
Residential,Keriann Daintrey,Edgewire,kdaintreygz@smh.com.au,977-826-3656,103,25,3,,,,,Premium,7,$10647.02,$1180333.37
Residential,Rainer Tipperton,Youfeed,rtippertonh0@freewebs.com,506-885-0866,31,64,10,,,,,Standard,9,$9739.97,$1771190.20
Residential,Moll Lowcock,Zooxo,mlowcockh1@mozilla.org,138-595-5269,309,4,1,,,,,Excelium,26,$16852.59,$1346753.88
Residential,Far Partner,Abatz,fpartnerh4@thetimes.co.uk,943-772-8048,306,83,8,,,,,Premium,23,$12961.38,$1701946.69
Residential,Colver Schooley,Mymm,cschooleyh5@netscape.com,273-144-7276,90,41,8,,,,,Excelium,12,$17678.12,$2104377.46
Residential,Nap Lancaster,Flipbug,nlancasterhg@unicef.org,895-957-3861,329,79,10,,,,,Excelium,9,$13004.09,$511959.57
Residential,Eldredge Elder,Midel,eelderhh@moonfruit.com,671-302-1445,32,94,10,,,,,Excelium,9,$17834.35,$549843.15
Residential,Rivy Edbrooke,Muxo,redbrookehi@cornell.edu,148-830-7042,48,100,8,,,,,Premium,14,$15587.07,$1525969.59
Residential,Coleen Cawthry,Linkbridge,ccawthryhj@pcworld.com,741-169-3141,21,50,6,,,,,Standard,25,$15594.29,$68545.10
Residential,Una Fouch,Avamba,ufouchhp@themeforest.net,308-246-3654,138,60,5,,,,,Excelium,25,$7696.74,$1326041.56
Residential,Milty Paskin,Realfire,mpaskinht@house.gov,626-831-4776,76,3,4,,,,,Premium,13,$8409.52,$1571785.67
Residential,Cherye Machans,Midel,cmachanshv@meetup.com,282-713-0303,278,69,3,,,,,Excelium,8,$8695.81,$11697.05
Residential,Bobette Fantonetti,Topiczoom,bfantonettii0@tripadvisor.com,562-376-7759,23,52,10,,,,,Premium,1,$12190.47,$318342.78
Residential,Portie Pascow,Shufflebeat,ppascowi4@blogs.com,393-667-5790,180,35,1,,,,,Standard,23,$11005.64,$1554505.42
Residential,Dino Ismirnioglou,Jamia,dismirniogloui5@bing.com,802-388-2859,129,15,4,,,,,Excelium,9,$7813.63,$1436069.70
Residential,Guss Gencke,Skivee,ggenckei9@google.com.br,811-285-6739,275,89,7,,,,,Premium,13,$7673.27,$2154131.21
Residential,Sayres Shawdforth,Shuffletag,sshawdforthie@sphinn.com,859-101-8075,303,68,10,,,,,Excelium,12,$17080.96,$1847948.83
Residential,Lina Yakushkev,Katz,lyakushkevig@dropbox.com,412-515-5418,114,83,7,,,,,Excelium,24,$14954.67,$1242817.65
Residential,Lelia Cowell,Skidoo,lcowellik@ft.com,463-489-4636,172,17,2,,,,,Excelium,9,$10553.11,$1640065.68
Residential,Minna Smaling,Yotz,msmalingiq@ehow.com,918-793-2671,133,9,7,,,,,Premium,28,$7032.69,$1565688.22
Residential,Lammond Gillard,Roombo,lgillardir@virginia.edu,975-442-6929,227,6,6,,,,,Premium,4,$8219.02,$1572414.89
Residential,Ines Gillum,Chatterpoint,igillumis@jugem.jp,860-738-0895,251,4,5,,,,,Premium,3,$15314.72,$523148.86
